"Name","Id","CPU"
"UARPUpdaterServiceDisplay","993",
"UARPUpdaterServiceHID","994",
"UARPUpdaterServiceLegacyAudio","997",
"UARPUpdaterServiceUSBPD","995",
"UIKitSystem","792","0.2865125"
"universalaccessd","696","0.2709208"
"UsageTrackingAgent","739","0.2459166"
"usbd","448",
"usbmuxd","365",
"useractivityd","907","0.2571791"
"UserEventAgent","322",
"UserEventAgent","690","0.82225"
"usermanagerd","382",
"usernoted","729","0.8644708"
"UserNotificationCenter","839","0.442975"
"usernotificationsd","705","0.2307041"
"UVCAssistant","530",
"ViewBridgeAuxiliary","785","1.1598625"
"voicebankingd","1422","0.172675"
"vpnagentd","476",
"VTDecoderXPCService","911","0.1052708"
"VTDecoderXPCService","4795","0.2554083"
"VTEncoderXPCService","3011","0.1040666"
"VTEncoderXPCService","4788","0.0718875"
"WallpaperAgent","846","0.2824583"
"wallpaperexportd","890",
"WallpaperVideoExtension","893","1.689475"
"WardaSynthesizer_arm64","1413","0.0351583"
"WardaSynthesizer_x86_64","1414","0.2791375"
"watchdogd","344",
"weatherd","1318","0.2178791"
"WeatherWidget","771","0.7269041"
"webinspectord","1368","0.2525958"
"webprivacyd","3106","0.0709125"
"WiFiAgent","887","0.3076166"
"wifianalyticsd","619",
"WiFiCloudAssetsXPCService","578",
"WiFiCloudAssetsXPCService","960","0.0248541"
"wifip2pd","575",
"wifivelocityd","3008",
"WindowManager","714","5.068075"
"WindowServer","392",
"WirelessRadioManagerd","517",
"WorldClockWidget","759","0.2064041"
"writeconfig","669",
"xpcroleaccountd","588",
"XProtectBridgeService","1160",
"XProtectPluginService","1360",
"XProtectPluginService","1399","0.5547041"
"XprotectService","3492","0.0372083"
"zsh","1532","0.1742833"
"zsh","2482","0.1448375"
"zsh","2483","0.1325958"
